atomic_number,symbol,element_name,period,group,atomic_radius_pm,first_ionisation_energy_kj_mol,electronegativity_pauling
1,H,Hydrogen,1,1,37.0,1312.0,2.2
2,He,Helium,1,18,32.0,2372.0,
3,Li,Lithium,2,1,134.0,520.0,0.98
4,Be,Beryllium,2,2,90.0,900.0,1.57
5,B,Boron,2,13,82.0,801.0,2.04
6,C,Carbon,2,14,77.0,1087.0,2.55
7,N,Nitrogen,2,15,75.0,1402.0,3.04
8,O,Oxygen,2,16,73.0,1314.0,3.44
9,F,Fluorine,2,17,71.0,1681.0,3.98
10,Ne,Neon,2,18,69.0,2081.0,
11,Na,Sodium,3,1,154.0,496.0,0.93
12,Mg,Magnesium,3,2,130.0,738.0,1.31
13,Al,Aluminum,3,13,118.0,578.0,1.61
14,Si,Silicon,3,14,111.0,787.0,1.9
15,P,Phosphorus,3,15,106.0,1012.0,2.19
16,S,Sulfur,3,16,102.0,1000.0,2.58
17,Cl,Chlorine,3,17,99.0,1251.0,3.16
18,Ar,Argon,3,18,97.0,1521.0,
19,K,Potassium,4,1,196.0,419.0,0.82
20,Ca,Calcium,4,2,174.0,590.0,1.0
21,Sc,Scandium,4,3,144.0,633.0,1.36
22,Ti,Titanium,4,4,136.0,659.0,1.54
23,V,Vanadium,4,5,125.0,651.0,1.63
24,Cr,Chromium,4,6,127.0,653.0,1.66
25,Mn,Manganese,4,7,139.0,717.0,1.55
26,Fe,Iron,4,8,125.0,763.0,1.83
27,Co,Cobalt,4,9,126.0,760.0,1.88
28,Ni,Nickel,4,10,121.0,737.0,1.91
29,Cu,Copper,4,11,138.0,746.0,1.9
30,Zn,Zinc,4,12,131.0,906.0,1.65
31,Ga,Gallium,4,13,126.0,579.0,1.81
32,Ge,Germanium,4,14,122.0,762.0,2.01
33,As,Arsenic,4,15,119.0,947.0,2.18
34,Se,Selenium,4,16,116.0,941.0,2.55
35,Br,Bromine,4,17,114.0,1140.0,2.96
36,Kr,Krypton,4,18,110.0,1351.0,
37,Rb,Rubidium,5,1,211.0,403.0,0.82
38,Sr,Strontium,5,2,192.0,550.0,0.95
39,Y,Yttrium,5,3,162.0,600.0,1.22
40,Zr,Zirconium,5,4,148.0,640.0,1.33
41,Nb,Niobium,5,5,137.0,652.0,1.6
42,Mo,Molybdenum,5,6,145.0,684.0,2.16
43,Tc,Technetium,5,7,156.0,702.0,1.9
44,Ru,Ruthenium,5,8,126.0,710.0,2.2
45,Rh,Rhodium,5,9,135.0,720.0,2.28
46,Pd,Palladium,5,10,131.0,804.0,2.2
47,Ag,Silver,5,11,153.0,731.0,1.93
48,Cd,Cadmium,5,12,148.0,868.0,1.69
49,In,Indium,5,13,144.0,558.0,1.78
50,Sn,Tin,5,14,141.0,709.0,1.96
51,Sb,Antimony,5,15,138.0,834.0,2.05
52,Te,Tellurium,5,16,135.0,869.0,2.1
53,I,Iodine,5,17,133.0,1008.0,2.66
54,Xe,Xenon,5,18,130.0,1170.0,
55,Cs,Cesium,6,1,225.0,376.0,0.79
56,Ba,Barium,6,2,198.0,503.0,0.89
57,La,Lanthanum,6,-,169.0,538.0,1.1
58,Ce,Cerium,6,-,,534.0,1.12
59,Pr,Praseodymium,6,-,,527.0,1.13
60,Nd,Neodymium,6,-,,533.0,1.14
61,Pm,Promethium,6,-,,540.0,1.13
62,Sm,Samarium,6,-,,545.0,1.17
63,Eu,Europium,6,-,,547.0,1.2
64,Gd,Gadolinium,6,-,,593.0,1.2
65,Tb,Terbium,6,-,,566.0,1.2
66,Dy,Dysprosium,6,-,,573.0,1.22
67,Ho,Holmium,6,-,,581.0,1.23
68,Er,Erbium,6,-,,589.0,1.24
69,Tm,Thulium,6,-,,597.0,1.25
70,Yb,Ytterbium,6,-,,603.0,1.1
71,Lu,Lutetium,6,3,160.0,524.0,1.27
72,Hf,Hafnium,6,4,150.0,659.0,1.3
73,Ta,Tantalum,6,5,138.0,761.0,1.5
74,W,Tungsten,6,6,146.0,770.0,2.36
75,Re,Rhenium,6,7,159.0,760.0,1.9
76,Os,Osmium,6,8,128.0,840.0,2.2
77,Ir,Iridium,6,9,137.0,880.0,2.2
78,Pt,Platinum,6,10,128.0,870.0,2.28
79,Au,Gold,6,11,144.0,890.0,2.54
80,Hg,Mercury,6,12,149.0,1007.0,2.0
81,Tl,Thallium,6,13,148.0,589.0,2.04
82,Pb,Lead,6,14,147.0,716.0,2.33
83,Bi,Bismuth,6,15,146.0,703.0,2.02
84,Po,Polonium,6,16,,812.0,2.0
85,At,Astatine,6,17,,920.0,2.2
86,Rn,Radon,6,18,145.0,1037.0,
87,Fr,Francium,7,1,,380.0,0.7
88,Ra,Radium,7,2,,509.0,0.9
89,Ac,Actinium,7,-,,499.0,1.1
90,Th,Thorium,7,-,,587.0,1.3
91,Pa,Protactinium,7,-,,568.0,1.5
92,U,Uranium,7,-,,598.0,1.38
93,Np,Neptunium,7,-,,605.0,1.36
94,Pu,Plutonium,7,-,,585.0,1.28
95,Am,Americium,7,-,,578.0,1.3
96,Cm,Curium,7,-,,581.0,1.3
97,Bk,Berkelium,7,-,,601.0,1.3
98,Cf,Californium,7,-,,608.0,1.3
99,Es,Einsteinium,7,-,,619.0,1.3
100,Fm,Fermium,7,-,,627.0,1.3
101,Md,Mendelevium,7,-,,635.0,1.3
102,No,Nobelium,7,-,,642.0,1.3
103,Lr,Lawrencium,7,3,,,1.3
104,Rf,Rutherfordium,7,4,,,
105,Db,Dubnium,7,5,,,
106,Sg,Seaborgium,7,6,,,
107,Bh,Bohrium,7,7,,,
108,Hs,Hassium,7,8,,,
109,Mt,Meitnerium,7,9,,,
110,Ds,Darmstadtium,7,10,,,
111,Rg,Roentgenium,7,11,,,
112,Cn,Copernicium,7,12,,,
113,Nh,Nihomium,7,13,,,
114,Fl,Flerovium,7,14,,,
115,Mc,Moscovium,7,15,,,
116,Lv,Livermorium,7,16,,,
117,Ts,Tennessine,7,17,,,
118,Og,Oganesson,7,18,,,
